Year	Format2	Format	Units	Revenue	CPI Adjustment
2010	Digital Downloads	Kiosk		$4,085,180	$6,031,456
2010	Digital Downloads	Other Digital		$0	$0
2010	Digital Downloads	Ringtones & Ringbacks		$226,553,123	$334,488,352
2010	Digital Downloads	Total		$1,853,443,634	$2,736,467,714
2010	Physical	8 - Track		$0	$0
2010	Physical	Cassette		$0	$0
2010	Physical	Cassette Single		$0	$0
2010	Physical	CD		$1,935,451,202	$2,857,545,614
2010	Physical	CD Single		$1,349,676	$1,992,694
2010	Physical	DVD Audio		$492,041	$726,461
2010	Physical	LP/EP		$53,918,874	$79,607,092
2010	Physical	Music Video (Physical)		$104,678,468	$154,549,749
2010	Physical	Other Physical		$0	$0
2010	Physical	Other Tapes		$0	$0
2010	Physical	SACD		$948,092	$1,399,786
2010	Physical	Vinyl Single		$1,219,140	$1,799,968
2010	Physical	Total		$2,098,057,494	$3,097,621,362
2010	Streaming	Free Streaming		$0	$0
2010	Streaming	Other Streaming		$249,200,000	$367,924,733
2010	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2010	Streaming	Paid Subscriptions (Premium)		$106,199,999	$156,796,172
2010	Streaming	Total		$355,399,999	$524,720,906
2010	Synchronization	Synchronization		$188,700,000	$278,601,112
2010	Synchronization	Total		$188,700,000	$278,601,112
2010	Total	Total		$4,495,601,127	$6,637,411,094
2009	Digital Downloads	Download Album		$525,167,073	$788,087,196
2009	Digital Downloads	Download Music Video		$30,068,834	$45,122,522
2009	Digital Downloads	Download Single		$859,746,042	$1,290,170,087
2009	Digital Downloads	Kiosk		$4,021,349	$6,034,601
2009	Digital Downloads	Other Digital		$0	$0
2009	Digital Downloads	Ringtones & Ringbacks		$355,405,211	$533,335,602
2009	Digital Downloads	Total		$1,774,408,508	$2,662,750,008
2009	Physical	8 - Track		$0	$0
2009	Physical	Cassette		$0	$0
2009	Physical	Cassette Single		$0	$0
2009	Physical	CD		$2,466,167,066	$3,700,831,203
2009	Physical	CD Single		$1,442,757	$2,165,061
2009	Physical	DVD Audio		$874,739	$1,312,669
2009	Physical	LP/EP		$38,695,435	$58,067,953
2009	Physical	Music Video (Physical)		$123,539,453	$185,388,358
2009	Physical	Other Physical		$0	$0
2009	Physical	Other Tapes		$0	$0
2009	Physical	SACD		$1,338,483	$2,008,583
2009	Physical	Vinyl Single		$1,325,153	$1,988,578
2009	Physical	Total		$2,633,383,086	$3,951,762,404
2009	Streaming	Free Streaming		$0	$0
2009	Streaming	Other Streaming		$155,500,000	$233,349,662
2009	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2009	Streaming	Paid Subscriptions (Premium)		$103,099,999	$154,716,076
2009	Streaming	Total		$258,599,999	$388,065,739
2009	Synchronization	Synchronization		$201,200,000	$301,928,952
2009	Synchronization	Total		$201,200,000	$301,928,952
2009	Total	Total		$4,867,591,593	$7,304,507,103
2008	Digital Downloads	Download Album		$448,258,285	$670,281,496
2008	Digital Downloads	Download Music Video		$30,362,905	$45,401,712
2008	Digital Downloads	Download Single		$757,192,717	$1,132,231,761
2008	Digital Downloads	Kiosk		$1,659,604	$2,481,610
2008	Digital Downloads	Other Digital		$0	$0
2008	Digital Downloads	Ringtones & Ringbacks		$494,118,429	$738,856,261
2008	Digital Downloads	Total		$1,731,591,940	$2,589,252,839
2008	Physical	8 - Track		$0	$0
2008	Physical	Cassette		$492,300	$736,137
2008	Physical	Cassette Single		$0	$0
2008	Physical	CD		$3,124,279,862	$4,671,741,832
2008	Physical	CD Single		$1,628,920	$2,435,727
2008	Physical	DVD Audio		$656,054	$980,999
2008	Physical	LP/EP		$34,389,203	$51,422,243
2008	Physical	Music Video (Physical)		$133,971,936	$200,328,499
2008	Physical	Other Physical		$0	$0
2008	Physical	Other Tapes		$0	$0
2008	Physical	SACD		$1,728,874	$2,585,189
2008	Physical	Vinyl Single		$1,537,177	$2,298,544
2008	Physical	Total		$3,298,684,326	$4,932,529,170
2008	Streaming	Free Streaming		$0	$0
2008	Streaming	Other Streaming		$100,000,000	$149,530,197
2008	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2008	Streaming	Paid Subscriptions (Premium)		$110,699,999	$165,529,926
2008	Streaming	Total		$210,699,999	$315,060,123
2008	Synchronization	Synchronization		$0	$0
2008	Synchronization	Total		$0	$0
